SampleID,Experiment,species,Condition,Sex,Area,lane,RIN,Result ,LibraryPrep,Lane,Yield,Additional_througput,TechnicalRep,SeqRun
KB01,OXTR ,Prairie,Pre-bond,F,NAc,1,7.6,Pass,Macrogen,0,6678.00,0,,1
KB02,OXTR ,Prairie,Pre-bond,F,NAc,1,8.1,Pass,Macrogen,0,7353.00,0,26,1
KB03,OXTR ,Prairie,Pre-bond,F,NAc,1,8.9,Pass,Macrogen,1,7701.00,1,,1
KB04,OXTR ,Prairie,Pre-bond,M,NAc,1,9.1,Pass,Macrogen,0,10062.00,0,,1
KB05,OXTR ,Prairie,Pre-bond,M,NAc,1,8.8,Pass,Macrogen,0,7243.00,0,,1
KB06,OXTR ,Prairie,Pre-bond,M,NAc,1,8.9,Pass,Macrogen,0,9215.00,0,27,1
KB07,OXTR ,Prairie,Post-bond,F,NAc,1,8.7,Pass,Macrogen,0,8990.00,0,,1
KB08,OXTR ,Prairie,Post-bond,F,NAc,1,9.1,Pass,Macrogen,0,6666.00,0,,1
KB09,OXTR ,Prairie,Post-bond,F,NAc,1,8.4,Pass,Macrogen,0,7726.00,0,,1
KB10,OXTR ,Prairie,Post-bond,M,NAc,1,8.2,Pass,Macrogen,0,7149.00,0,,1
KB11,OXTR ,Prairie,Post-bond,M,NAc,1,8.8,Pass,Macrogen,0,8238.00,0,,1
KB12,OXTR ,Prairie,Post-bond,M,NAc,1,8.6,Pass,Macrogen,0,8490.00,0,,1
KB13,OXTR ,Mut6,Pre-bond,F,NAc,1,8.5,Pass,Macrogen,0,7463.00,1,,1
KB14,OXTR ,Mut6,Pre-bond,F,NAc,1,8.8,Pass,Macrogen,0,9985.00,0,,1
KB15,OXTR ,Mut6,Pre-bond,F,NAc,1,8.7,Pass,Macrogen,0,7728.00,0,,1
KB16,OXTR ,Mut6,Pre-bond,M,NAc,1,8.4,Pass,Macrogen,0,7786.00,1,,1
KB17,OXTR ,Mut6,Pre-bond,M,NAc,1,8.4,Pass,Macrogen,0,8780.00,0,29,1
KB18,OXTR ,Mut6,Pre-bond,M,NAc,1,8.7,Pass,Macrogen,0,8176.00,0,,1
KB19,OXTR ,Mut6,Post-bond,F,NAc,2,8.4,Pass,Macrogen,1,6001.00,0,,1
KB20,OXTR ,Mut6,Post-bond,F,NAc,1,8.6,Pass,Macrogen,0,7277.00,0,28,1
KB21,OXTR ,Mut6,Post-bond,F,NAc,1,8.9,Pass,Macrogen,0,8825.00,0,,1
KB22,OXTR ,Mut6,Post-bond,M,NAc,2,9.1,Pass,Macrogen,0,8079.00,0,,1
KB23,OXTR ,Mut6,Post-bond,M,NAc,2,8.4,Pass,Macrogen,0,6446.00,0,,1
KB24,OXTR ,Mut6,Post-bond,M,NAc,1,8.6,Pass,Macrogen,0,8090.00,0,,1
KB25,OXTR ,Prairie,Post-bond,M,NAc,1,7.6,Pass,,,,,,2
KB26,OXTR ,Prairie,Pre-bond,F,NAc,1,8.1,Pass,,,,,2,2
KB27,OXTR ,Prairie,Pre-bond,M,NAc,1,8.9,Pass,,,,,6,2
KB28,OXTR ,Mut6,Post-bond,F,NAc,1,9.1,Pass,,,,,20,2
KB29,OXTR ,Mut6,Pre-bond,M,NAc,1,8.8,Pass,,,,,17,2
KB30,OXTR ,Prairie,Pre-bond,F,NAc,1,8.6,Pass,,,,,,3
KB31,OXTR ,Prairie,Pre-bond,F,NAc,1,8.5,Pass,,,,,,3
KB32,OXTR ,Prairie,Pre-bond,M,NAc,1,8.5,Pass,,,,,,3
KB33,OXTR ,Prairie,Post-bond,F,NAc,1,8.2,Pass,,,,,,3
KB34,OXTR ,Prairie,Post-bond,F,NAc,1,8.2,Pass,,,,,,3
KB35,OXTR ,Prairie,Post-bond,M,NAc,1,8.4,Pass,,,,,,3
KB36,OXTR ,Mut6,Pre-bond,F,NAc,1,8.2,Pass,,,,,,3
