Sample	TOTAL_READS_First	PF_READS_First	PCT_PF_READS_First	PF_NOISE_READS_First	PF_READS_ALIGNED_First	PCT_PF_READS_ALIGNED_First	PF_ALIGNED_BASES_First	PF_HQ_ALIGNED_READS_First	PF_HQ_ALIGNED_BASES_First	PF_HQ_ALIGNED_Q20_BASES_First	PF_HQ_MEDIAN_MISMATCHES_First	PF_MISMATCH_RATE_First	PF_HQ_ERROR_RATE_First	PF_INDEL_RATE_First	MEAN_READ_LENGTH_First	READS_ALIGNED_IN_PAIRS_First	PCT_READS_ALIGNED_IN_PAIRS_First	PF_READS_IMPROPER_PAIRS_First	PCT_PF_READS_IMPROPER_PAIRS_First	BAD_CYCLES_First	STRAND_BALANCE_First	TOTAL_READS_Second	PF_READS_Second	PCT_PF_READS_Second	PF_NOISE_READS_Second	PF_READS_ALIGNED_Second	PCT_PF_READS_ALIGNED_Second	PF_ALIGNED_BASES_Second	PF_HQ_ALIGNED_READS_Second	PF_HQ_ALIGNED_BASES_Second	PF_HQ_ALIGNED_Q20_BASES_Second	PF_HQ_MEDIAN_MISMATCHES_Second	PF_MISMATCH_RATE_Second	PF_HQ_ERROR_RATE_Second	PF_INDEL_RATE_Second	MEAN_READ_LENGTH_Second	READS_ALIGNED_IN_PAIRS_Second	PCT_READS_ALIGNED_IN_PAIRS_Second	PF_READS_IMPROPER_PAIRS_Second	PCT_PF_READS_IMPROPER_PAIRS_Second	BAD_CYCLES_Second	STRAND_BALANCE_Second	TOTAL_READS_Pair	PF_READS_Pair	PCT_PF_READS_Pair	PF_NOISE_READS_Pair	PF_READS_ALIGNED_Pair	PCT_PF_READS_ALIGNED_Pair	PF_ALIGNED_BASES_Pair	PF_HQ_ALIGNED_READS_Pair	PF_HQ_ALIGNED_BASES_Pair	PF_HQ_ALIGNED_Q20_BASES_Pair	PF_HQ_MEDIAN_MISMATCHES_Pair	PF_MISMATCH_RATE_Pair	PF_HQ_ERROR_RATE_Pair	PF_INDEL_RATE_Pair	MEAN_READ_LENGTH_Pair	READS_ALIGNED_IN_PAIRS_Pair	PCT_READS_ALIGNED_IN_PAIRS_Pair	PF_READS_IMPROPER_PAIRS_Pair	PCT_PF_READS_IMPROPER_PAIRS_Pair	BAD_CYCLES_Pair	STRAND_BALANCE_Pair	MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES
KB01	13243948	13243948	1	0	13243948	1	1956762340	13046658	1928295622	1909032924	0	0.004126	0.004067	0.000324	148.534455	13219585	0.99816	24363	0.00184	0	0.426421	13227197	13227197	1	0	13227197	1	1952219989	13030261	1923890270	1900227559	0	0.004188	0.004126	0.000307	148.294799	13219585	0.999425	7612	0.000575	0	0.573598	26471145	26471145	1	0	26471145	1	3908982329	26076919	3852185892	3809260483	0	0.004157	0.004096	0.000316	148.414703	26439170	0.998792	31975	0.001208	0	0.499963	241	151	75	24	1959272	259.845559	149.000684	13219585	FR	35	67	99	125	151	173	339	2103	7083	67701	3928707125	3908982329		2005277644	813782248	400233722	689688715	0	18626432	152496	66035	8998669	319007	0.007285	0.992715		0.512992	0.208183	0.102388	0.176437	0.721175	0.717554
KB02	14807505	14807505	1	0	14807505	1	2190032181	14591045	2158764380	2137956406	0	0.003936	0.00388	0.000295	148.619118	14782478	0.99831	25027	0.00169	0	0.415218	14789873	14789873	1	0	14789873	1	2180809813	14573694	2149733725	2120507313	0	0.004102	0.004042	0.000278	148.076318	14782478	0.9995	7395	0.0005	0	0.584813	29597378	29597378	1	0	29597378	1	4370841994	29164739	4308498105	4258463719	0	0.004019	0.003961	0.000286	148.34788	29564956	0.998905	32422	0.001095	0	0.499965	246	151	80	20	1369071	268.040144	163.370463	14782478	FR	37	73	105	135	161	183	409	2327	7421	69929	4390708270	4370841994		2376344015	929982466	336297023	728218490	0	21763551	171011	74266	10511016	375781	0.007016	0.992984		0.543681	0.21277	0.076941	0.166608	0.756451	0.753028
KB03	15139852	15139852	1	0	15139852	1	2235355262	14917498	2203308534	2181642046	0	0.003595	0.003533	0.000312	148.420141	15087869	0.996566	51983	0.003434	0	0.43777	15097117	15097117	1	0	15097117	1	2221669918	14875558	2189962262	2160097740	0	0.003777	0.003713	0.000293	147.837372	15087869	0.999387	9248	0.000613	0	0.562238	30236969	30236969	1	0	30236969	1	4457025180	29793056	4393270796	4341739786	0	0.003686	0.003623	0.000303	148.129168	30175738	0.997975	61231	0.002025	0	0.499916	249	151	83	26	1570891	272.497074	172.512703	15087869	FR	39	77	111	141	167	191	529	2645	7967	74625	4478977068	4457025180		2307208967	980217295	378929491	790669427	0	21776448	158150	67625	10500623	396536	0.006399	0.993601		0.517657	0.219926	0.085018	0.177398	0.737583	0.733968
KB04	20841408	20841408	1	0	20841408	1	3080583749	20536054	3036544595	3007042769	0	0.00391	0.003849	0.000319	148.585177	20812581	0.998617	28827	0.001383	0	0.438413	20823034	20823034	1	0	20823034	1	3068159017	20517963	3024396923	2983440380	0	0.004077	0.004013	0.000301	148.034697	20812581	0.999498	10453	0.000502	0	0.5616	41664442	41664442	1	0	41664442	1	6148742766	41054017	6060941518	5990483149	0	0.003993	0.003931	0.00031	148.310058	41625162	0.999057	39280	0.000943	0	0.499979	250	151	83	19	1507792	272.894162	170.563153	20812581	FR	39	77	111	141	167	193	465	2513	7803	73569	6179255822	6148742766		3120882877	1272985171	653184228	1101690490	0	29140344	213779	91802	14066743	504219	0.006484	0.993516		0.507564	0.207032	0.106231	0.179173	0.714596	0.711068
KB05	14215057	14215057	1	0	14215057	1	2100457743	14007838	2070571143	2049886580	0	0.003687	0.003624	0.000318	148.512508	14197438	0.998761	17619	0.001239	0	0.432405	14204504	14204504	1	0	14204504	1	2093782070	13997487	2064059361	2036870175	0	0.003821	0.003756	0.000299	148.067645	14197438	0.999503	7066	0.000497	0	0.567625	28419561	28419561	1	0	28419561	1	4194239813	28005325	4134630504	4086756755	0	0.003754	0.00369	0.000309	148.290159	28394876	0.999131	24685	0.000869	0	0.49999	244	151	78	23	1927510	264.317245	158.312333	14197438	FR	37	73	103	133	157	181	419	2389	7541	70953	4214341216	4194239813		2147205365	888665528	410674145	747694775	0	20099987	151453	65116	9709057	342825	0.006662	0.993338		0.511941	0.211878	0.097914	0.178267	0.723819	0.720367
KB06	18245070	18245070	1	0	18245070	1	2696788084	17977135	2658164301	2632578305	0	0.003844	0.003781	0.000316	148.587495	18217371	0.998482	27699	0.001518	0	0.434564	18226475	18226475	1	0	18226475	1	2685808660	17958766	2647408878	2611705283	0	0.004001	0.003935	0.000298	148.063286	18217371	0.999501	9104	0.000499	0	0.565472	36471545	36471545	1	0	36471545	1	5382596744	35935901	5305573179	5244283588	0	0.003922	0.003858	0.000307	148.325524	36434742	0.998991	36803	0.001009	0	0.499984	247	151	81	20	1530654	269.25365	166.966904	18217371	FR	39	75	107	137	163	187	469	2497	7763	74693	5409661023	5382596744		2816356366	1127411281	494794207	944034890	0	26101705	189021	81015	12600493	453042	0.006388	0.993612		0.523234	0.209455	0.091925	0.175387	0.732689	0.729023
KB07	17446605	17446605	1	0	17446605	1	2577085995	17187501	2539751465	2514523960	0	0.004112	0.004054	0.000308	148.482976	17422706	0.99863	23899	0.00137	0	0.42355	17431491	17431491	1	0	17431491	1	2570247746	17172549	2533043645	2500400678	0	0.004196	0.004136	0.00029	148.137808	17422706	0.999496	8785	0.000504	0	0.57647	34878096	34878096	1	0	34878096	1	5147333741	34360050	5072795110	5014924638	0	0.004154	0.004095	0.000299	148.310467	34845412	0.999063	32684	0.000937	0	0.499977	241	151	75	23	1819913	260.214312	150.679744	17422706	FR	35	69	99	127	151	173	351	2109	7011	65961	5172786704	5147333741		2686413775	1061215760	507536689	892167517	0	24770842	193007	83299	11967372	422997	0.006912	0.993088		0.521904	0.206168	0.098602	0.173326	0.728072	0.724489
KB08	13127458	13127458	1	0	13127458	1	1938901592	12932594	1910789466	1891356340	0	0.004109	0.004051	0.000314	148.481259	13101949	0.998057	25509	0.001943	0	0.420553	13109076	13109076	1	0	13109076	1	1933717481	12914519	1905753024	1881827276	0	0.004183	0.004123	0.000297	148.211026	13101949	0.999456	7127	0.000544	0	0.579469	26236534	26236534	1	0	26236534	1	3872619073	25847113	3816542490	3773183616	0	0.004146	0.004087	0.000305	148.346237	26203898	0.998756	32636	0.001244	0	0.499955	241	151	75	22	2012959	259.287342	149.069921	13101949	FR	35	67	99	125	151	173	337	2121	7131	68785	3892091096	3872619073		2030011170	795233111	373599039	673775753	0	18670675	144525	62147	9018213	322777	0.006844	0.993156		0.524196	0.205348	0.096472	0.173985	0.729544	0.725894
KB09	14797233	14797233	1	0	14797233	1	2188043726	14579478	2156599548	2135445528	0	0.004099	0.004041	0.000305	148.646326	14774026	0.998432	23207	0.001568	0	0.421879	14780799	14780799	1	0	14780799	1	2172425063	14563274	2141295810	2109329049	0	0.004325	0.004264	0.000286	147.676362	14774026	0.999542	6773	0.000458	0	0.578167	29578032	29578032	1	0	29578032	1	4360468789	29142752	4297895358	4244774577	0	0.004211	0.004152	0.000296	148.161613	29548052	0.998986	29980	0.001014	0	0.499979	240	151	75	17	1639114	259.398204	150.618571	14774026	FR	35	69	99	127	151	173	367	2197	7231	70445	4382328945	4360468789		2308754214	907900180	390814965	752999430	0	21259804	157576	67888	10270578	364265	0.006567	0.993433		0.529474	0.208212	0.089627	0.172688	0.737685	0.734006
KB10	14646751	14646751	1	0	14646751	1	2167043710	14434574	2136361081	2115804411	0	0.00395	0.003894	0.000301	148.689551	14621044	0.998245	25707	0.001755	0	0.421213	14627587	14627587	1	0	14627587	1	2144567689	14415791	2114332451	2078391715	0	0.004365	0.004306	0.000281	147.270043	14621044	0.999553	6543	0.000447	0	0.578821	29274338	29274338	1	0	29274338	1	4311611399	28850365	4250693532	4194196126	0	0.004156	0.004099	0.000291	147.980262	29242088	0.998898	32250	0.001102	0	0.499966	243	151	77	26	1443117	262.047623	154.84919	14621044	FR	37	71	101	129	155	177	397	2349	7513	71303	4332024199	4311611399		2295362340	896487305	383437573	736324181	0	21102468	161681	69592	10194242	363778	0.00678	0.99322		0.532368	0.207924	0.088931	0.170777	0.740292	0.736803
