"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezgene_ids","external_gene_names","gene_biotype","entrezgene_id","external_gene_name","mmusculus_homolog_ensembl_gene","mmusculus_homolog_associated_gene_name","mmusculus_homolog_orthology_type","mmusculus_homolog_perc_id","hsapiens_homolog_ensembl_gene","hsapiens_homolog_associated_gene_name","hsapiens_homolog_orthology_type","hsapiens_homolog_perc_id","mmusculus_homolog_ensembl_genes","mmusculus_homolog_associated_gene_names","mmusculus_homolog_perc_ids","hsapiens_homolog_ensembl_genes","hsapiens_homolog_associated_gene_names","hsapiens_homolog_perc_ids","mmusculus_entrezgene_ids","mmusculus_entrezgene_id","hsapiens_entrezgene_ids","hsapiens_entrezgene_id"
"1","ENSMOCG00000020069",2097.70140489129,0.414086735125882,0.0345112193595341,1.27095347000957e-35,1.69341840344076e-31,"102002880","Slc2a3","protein_coding",102002880,"Slc2a3","ENSMUSG00000003153","Slc2a3","ortholog_one2one",89.0244,"","","",NA,NA,NA,NA,NA,NA,NA,"20527",20527,NA,NA
"2","ENSMOCG00000003348",2860.63386139846,0.387449252432149,0.0336619545323679,6.36018406763723e-33,4.23715462585993e-29,"102001679","Kcna1","protein_coding",102001679,"Kcna1","ENSMUSG00000047976","Kcna1","ortholog_one2one",99.3939,"ENSG00000111262","KCNA1","ortholog_one2one",98.1818,NA,NA,NA,NA,NA,NA,"16485",16485,"3736",3736
"3","ENSMOCG00000015206",1523.18788177943,-0.897305313820341,0.0794174708112527,7.24264889335281e-31,3.21670179516776e-27,"101980084, 101997396",", ","protein_coding",101980084,"","","","",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ENSMOCG00000008371",3000.82316801557,0.289283249433654,0.0273260014362636,1.73244003910539e-27,5.77075777026006e-24,"101988943","Rgs8","protein_coding",101988943,"Rgs8","ENSMUSG00000042671","Rgs8","ortholog_one2one",98.8889,"ENSG00000135824","RGS8","ortholog_one2one",99.4444,NA,NA,NA,NA,NA,NA,"67792",67792,"85397",85397
"5","ENSMOCG00000000158",2531.52275520085,0.478406745421454,0.0469116999401076,6.7101673089498e-27,1.78812538448894e-23,"101981468","Cnksr2","protein_coding",101981468,"Cnksr2","ENSMUSG00000025658","Cnksr2","ortholog_one2one",98.2558,"ENSG00000149970","CNKSR2","ortholog_one2one",98.3527,NA,NA,NA,NA,NA,NA,"245684",245684,"22866",22866
"6","ENSMOCG00000021159",197.933159555079,0.702490309915911,0.0711057891834983,4.03827838545601e-24,8.96767020130265e-21,"102000853","Acvr1c","protein_coding",102000853,"Acvr1c","ENSMUSG00000026834","Acvr1c","ortholog_one2one",97.7688,"ENSG00000123612","ACVR1C","ortholog_one2one",93.3063,NA,NA,NA,NA,NA,NA,"269275",269275,"130399",130399
"7","ENSMOCG00000001133",542.41024114345,0.317367337310241,0.0325954290056422,5.60343103140101e-24,1.06657307231981e-20,"101997868","","protein_coding",101997868,"","ENSMUSG00000065954","Tacc1","ortholog_one2one",95.3678,"ENSG00000147526","TACC1","ortholog_one2one",93.4605,NA,NA,NA,NA,NA,NA,"320165",320165,"6867",6867
"8","ENSMOCG00000016726",59.5161516741885,-1.40298914541146,0.161984730717071,3.20937027058138e-21,5.34520618565328e-18,"101985773","","protein_coding",101985773,"","ENSMUSG00000027890","Gstm4","ortholog_one2many",90.367,"ENSG00000168765","GSTM4","ortholog_one2many",86.6973,NA,NA,NA,NA,NA,NA,"14865",14865,"2948",2948
"9","ENSMOCG00000021662",794.292405987398,0.31509561489715,0.0352555940143304,1.10842223187098e-20,1.6409575352721e-17,"101983691","Cnot6","protein_coding",101983691,"Cnot6","ENSMUSG00000020362","Cnot6","ortholog_one2one",99.8205,"ENSG00000113300","CNOT6","ortholog_one2one",96.0503,NA,NA,NA,NA,NA,NA,"104625",104625,"57472",57472
"10","ENSMOCG00000013376",1189.46598221981,0.408415730878992,0.0469412266813524,1.3816109635373e-20,1.8408584478171e-17,"101990850","Foxp1","protein_coding",101990850,"Foxp1","ENSMUSG00000030067","Foxp1","ortholog_one2one",98.5775,"ENSG00000114861","FOXP1","ortholog_one2one",93.1721,NA,NA,NA,NA,NA,NA,"108655",108655,"27086",27086
"11","ENSMOCG00000016426",788.938102596341,0.385681185596084,0.0452057114903429,8.61896303082739e-20,1.04399148566131e-16,"101992032","Cldn12","protein_coding",101992032,"Cldn12","ENSMUSG00000046798","Cldn12","ortholog_one2one",95.9016,"ENSG00000157224","CLDN12","ortholog_one2one",92.2131,NA,NA,NA,NA,NA,NA,"64945",64945,"9069",9069
"12","ENSMOCG00000020648",3166.18995300867,0.397065595075083,0.0468602587627844,1.18129981375384e-19,1.31163655987135e-16,"101996670","Cacna2d3","protein_coding",101996670,"Cacna2d3","ENSMUSG00000021991","Cacna2d3","ortholog_one2one",98.1668,"ENSG00000157445","CACNA2D3","ortholog_one2one",97.3419,NA,NA,NA,NA,NA,NA,"12294",12294,"55799",55799
